attacks,card_format,card_number,card_type,damages,energy,evolution,evolved_from,expansion,hp,illustrators,languages,name,rarity,resistance,retreat_cost,variants,weakness
Trapping Bite,Standard,128/189,"Galarian Pokémon,Pokémon V",60,Metal,Basic,,Darkness Ablaze,200,PLANETA Tsuji,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Stunfisk V,Rare Holo V,Grass-30,4,Unlimited,Fire×2
Beam;Clockwork,Standard,127/189,Pokémon,60;200,Metal,Stage 2,Klang,Darkness Ablaze,150,Naoki Saito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Klinklang,Rare,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Call for Backup;Spinning Attack,Standard,126/189,Pokémon,0;60,Metal,Stage 1,Klink,Darkness Ablaze,90,NC Empire,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Klang,Uncommon,Grass-30,3,Unlimited;Reverse Holo,Fire×2
Call for Backup,Standard,125/189,Pokémon,0,Metal,Basic,,Darkness Ablaze,60,Kouki Saitou,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Klink,Common,Grass-30,2,Unlimited;Reverse Holo,Fire×2
Fury Cutter;Seashell Attack,Standard,124/189,Pokémon,10+;60,Metal,Stage 1,Karrablast,Darkness Ablaze,120,Anesaki Dynamic,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Escavalier,Rare,Grass-30,2,Unlimited;Reverse Holo,Fire×2
G-Max Wave,Standard,021/185,"Full Art Pokémon,Gigantamax Pokémon",50+,Grass,VMAX,Orbeetle V,Vivid Voltage,310,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Orbeetle VMAX,Rare Holo VMAX,,1,Unlimited,Fire×2
Strafe;Mysterious Wave,Standard,020/185,Pokémon V,20;50+,Grass,Basic,,Vivid Voltage,180,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Orbeetle V,Rare Holo V,,1,Unlimited,Fire×2
Hook;Special Anchor,Standard,019/185,Pokémon,20;60+,Grass,Basic,,Vivid Voltage,130,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dhelmise,Uncommon,,3,Unlimited;Reverse Holo,Fire×2
Synthesis;Razor Leaf,Standard,017/185,Pokémon,0;50,Grass,Basic,,Vivid Voltage,70,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skiddo,Common,,1,Unlimited;Reverse Holo,Fire×2
Leech Seed;Flower Bearing,Standard,015/185,Pokémon,20;0,Grass,Basic,,Vivid Voltage,70,Shibuzoh.,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shaymin,Rare Holo,,1,Unlimited;Reverse Holo,Fire×2
Absorb,Standard,014/185,Pokémon,30,Grass,Stage 1,Nincada,Vivid Voltage,60,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ninjask,Rare,,0,Unlimited;Reverse Holo,Fire×2
Linear Attack;Techno Blast,Standard,016/185,Pokémon,0;120,Grass,Basic,,Vivid Voltage,120,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Genesect,Rare Holo,,2,Unlimited;Reverse Holo,Fire×2
Fan Tornado,Standard,012/185,Pokémon,110,Grass,Stage 2,Nuzleaf,Vivid Voltage,150,Uta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shiftry,Rare,,3,Unlimited;Reverse Holo,Fire×2
Razor Leaf;Take Down,Standard,018/185,Pokémon,50;160,Grass,Stage 1,Skiddo,Vivid Voltage,130,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Gogoat,Uncommon,,2,Unlimited;Reverse Holo,Fire×2
Absorb,Standard,013/185,Pokémon,10,Grass,Basic,,Vivid Voltage,40,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Nincada,Common,,1,Unlimited;Reverse Holo,Fire×2
Ram,Standard,010/185,Pokémon,10,Grass,Basic,,Vivid Voltage,60,Suwama Chiaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Seedot,Common,,1,Unlimited;Reverse Holo,Fire×2
Razor Leaf,Standard,011/185,Pokémon,40,Grass,Stage 1,Seedot,Vivid Voltage,80,otumami,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Nuzleaf,Uncommon,,1,Unlimited;Reverse Holo,Fire×2
Synthesis;Flop,Standard,014/189,Pokémon,0;20,Grass,Basic,,Darkness Ablaze,60,Yuka Morii,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bounsweet,Common,,1,Unlimited;Reverse Holo,Fire×2
Wind Shard,Standard,011/189,Pokémon,0,Grass,Basic,,Darkness Ablaze,50,HYOGONOSUKE,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Rowlet,Common,,1,Unlimited;Reverse Holo,Fire×2
Splitting Arrow,Standard,013/189,Pokémon,90,Grass,Stage 2,Dartrix,Darkness Ablaze,140,Ryota Murayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Decidueye,Rare Holo,,2,Unlimited;Reverse Holo,Fire×2
Mad Party,Standard,150/189,Pokémon,20×,Colorless,Basic,,Darkness Ablaze,40,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Bunnelby,Common,,1,Unlimited;Reverse Holo,Fighting×2
Feather Slice,Standard,149/189,Pokémon,70+,Colorless,Stage 1,Ducklett,Darkness Ablaze,110,Taira Akitsu,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Swanna,Rare,Fighting-30,0,Unlimited;Reverse Holo,Lightning×2
Flap,Standard,148/189,Pokémon,20,Colorless,Basic,,Darkness Ablaze,50,Midori Harada,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Ducklett,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Hurricane Blender;Brave Bird,Standard,147/189,Pokémon,70;170,Colorless,Stage 2,Staravia,Darkness Ablaze,150,AKIRA EGAWA,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Staraptor,Rare,Fighting-30,0,Unlimited;Reverse Holo,Lightning×2
Razor Leaf,Standard,012/189,Pokémon,40,Grass,Stage 1,Rowlet,Darkness Ablaze,80,Mitsuhiro Arita,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dartrix,Uncommon,,1,Unlimited;Reverse Holo,Fire×2
Ambush;Wing Attack,Standard,146/189,Pokémon,20+;40,Colorless,Stage 1,Starly,Darkness Ablaze,80,chibi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Staravia,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Keen Eye,Standard,145/189,Pokémon,0,Colorless,Basic,,Darkness Ablaze,50,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Starly,Common,Fighting-30,1,Unlimited;Reverse Holo,Lightning×2
Sonic Double;Max Wings,Standard,144/189,"Dynamax Pokémon,Full Art Pokémon",0;240,Colorless,VMAX,Salamence V,Darkness Ablaze,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Salamence VMAX,Rare Holo VMAX,Fighting-30,2,Unlimited,Lightning×2
Swoop Across;Heavy Storm,Standard,143/189,Pokémon V,0;160,Colorless,Basic,,Darkness Ablaze,220,Saki Hayashiro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Salamence V,Rare Holo V,Fighting-30,2,Unlimited,Lightning×2
Captivating Tail;Moon Impact,Standard,142/189,Pokémon,0;90,Colorless,Stage 1,Skitty,Darkness Ablaze,100,Tika Matsuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Delcatty,Rare,,1,Unlimited;Reverse Holo,Fighting×2
Drawup Power;Cat Kick,Standard,141/189,Pokémon,0;20,Colorless,Basic,,Darkness Ablaze,60,Saya Tsuruta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Skitty,Common,,1,Unlimited;Reverse Holo,Fighting×2
Tail Whip,Standard,112/189,Pokémon,0,Darkness,Basic,,Darkness Ablaze,70,Misa Tsutsui,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Nickit,Common,,1,Unlimited;Reverse Holo,Grass×2
Assault Gate,Standard,111/189,Pokémon,90,Darkness,Basic,,Darkness Ablaze,120,so-taro,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hoopa,Rare Holo,,2,Unlimited;Reverse Holo,Grass×2
Pitch-Black Fangs,Standard,110/189,Pokémon,130,Darkness,Stage 2,Zweilous,Darkness Ablaze,160,kawayoo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Hydreigon,Rare,,3,Unlimited;Reverse Holo;Thank You Stamp,Grass×2
Dread End,Standard,117/189,"Eternamax Pokémon,Full Art Pokémon",30×,Darkness,VMAX,Eternatus V,Darkness Ablaze,340,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Eternatus VMAX,Rare Holo VMAX,,3,Unlimited,Fighting×2
Ram,Standard,108/189,Pokémon,10,Darkness,Basic,,Darkness Ablaze,60,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Deino,Common,,1,Unlimited;Reverse Holo,Grass×2
Hard Scissors;Max Steelspike,Standard,119/189,"Dynamax Pokémon,Full Art Pokémon",90;190,Metal,VMAX,Scizor V,Darkness Ablaze,320,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Scizor VMAX,Rare Holo VMAX,Grass-30,2,Unlimited,Fire×2
Slashing Claw,Standard,107/189,Pokémon,90,Darkness,Stage 1,Purrloin,Darkness Ablaze,100,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Liepard,Rare,,1,Unlimited;Reverse Holo,Grass×2
Corkscrew Punch;Darkness Fang,Standard,109/189,Pokémon,30;70,Darkness,Stage 1,Deino,Darkness Ablaze,100,tetsuya koizumi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Zweilous,Uncommon,,2,Unlimited;Reverse Holo,Grass×2
Hack Off;Slashing Claw,Standard,118/189,Pokémon V,30;140,Metal,Basic,,Darkness Ablaze,210,Shin Nagasawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Scizor V,Rare Holo V,Grass-30,2,Unlimited,Fire×2
Dig Claws;Fake Out,Standard,106/189,Pokémon,10;20,Darkness,Basic,,Darkness Ablaze,70,sowsow,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Purrloin,Common,,1,Unlimited;Reverse Holo,Grass×2
Energy Press;Amazing Bloom,Standard,009/185,Pokémon,30×;0,Grass,Basic,,Vivid Voltage,60,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Celebi,Amazing Rare,,1,Unlimited;Reverse Holo,Fire×2
Ram;Iron Defense,Standard,008/185,Pokémon,10;0,Grass,Basic,,Vivid Voltage,60,Tomokazu Komiya,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pineco,Common,,2,Unlimited;Reverse Holo,Fire×2
U-turn;Cutting Wind,Standard,007/185,Pokémon,50;130,Grass,Stage 1,Yanma,Vivid Voltage,130,Uta,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Yanmega,Rare,,0,Unlimited;Reverse Holo,Fire×2
U-turn;Cutting Wind,Standard,006/185,Pokémon,10;60,Grass,Basic,,Vivid Voltage,80,MAHOU,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Yanma,Common,,1,Unlimited;Reverse Holo,Fire×2
Power Accelerator;Dynamax Cannon,Standard,116/189,Pokémon V,30;120+,Darkness,Basic,,Darkness Ablaze,220,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Eternatus V,Rare Holo V,,2,"Unlimited;Darkness Ablaze Stamp, Jumbo Size",Fighting×2
Head Crack;Solar Beam,Standard,005/185,Pokémon,30;90,Grass,Stage 1,Exeggcute,Vivid Voltage,140,miki kudo,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Exeggutor,Rare,,3,,Fire×2
Seed Bomb,Standard,004/185,Pokémon,10,Grass,Basic,,Vivid Voltage,60,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Exeggcute,Common,,1,,Fire×2
Sharp Sting,Standard,003/185,Pokémon,120,Grass,Stage 2,Kakuna,Vivid Voltage,130,KEIICHIRO ITO,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Beedrill,Rare,,0,,Fire×2
Shed Skin;Bug Bite,Standard,002/185,Pokémon,0;20,Grass,Stage 1,Weedle,Vivid Voltage,80,Naoyo Kimura,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Kakuna,Uncommon,,3,,Fire×2
Jet Headbutt,Standard,010/189,Pokémon,70,Grass,Stage 1,Shelmet,Darkness Ablaze,90,Shigenori Negishi,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Accelgor,Rare,,0,Unlimited;Reverse Holo,Fire×2
Spray Fluid,Standard,009/189,Pokémon,10,Grass,Basic,,Darkness Ablaze,70,Megumi Mizutani,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Shelmet,Common,,3,Unlimited;Reverse Holo,Fire×2
Continuous Headbutt,Standard,008/189,Pokémon,20×,Grass,Basic,,Darkness Ablaze,60,Mizue,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Karrablast,Common,,1,Unlimited;Reverse Holo,Fire×2
Seed Bomb;Giga Impact,Standard,007/189,Pokémon,30;110,Grass,Stage 1,Pansage,Darkness Ablaze,100,Hasegawa Saki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Simisage,Uncommon,,1,Unlimited;Reverse Holo,Fire×2
Seed Bomb;Bite,Standard,006/189,Pokémon,10;20,Grass,Basic,,Darkness Ablaze,60,Mina Nakai,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pansage,Common,,1,Unlimited;Reverse Holo,Fire×2
Scratch,Standard,003/189,Pokémon,20,Grass,Basic,,Darkness Ablaze,60,Atsuko Nishida,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Paras,Common,,1,Unlimited;Reverse Holo,Fire×2
G-Max Toxbreeze,Standard,002/189,"Full Art Pokémon,Gigantamax Pokémon",150,Grass,VMAX,Butterfree V,Darkness Ablaze,300,aky CG Works,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Butterfree VMAX,Rare Holo VMAX,,0,Unlimited,Fire×2
Gust;Energy Loop,Standard,140/189,Pokémon,30;120,Colorless,Basic,,Darkness Ablaze,130,Hasuno,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Lugia,Rare,Fighting-30,2,Unlimited;Reverse Holo,Lightning×2
Land's Pulse,Standard,089/189,Pokémon,10+,Fighting,Basic,,Darkness Ablaze,60,Asako Ito,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Trapinch,Common,,1,Unlimited;Reverse Holo,Grass×2
Bedrock Breaker;Mountain Swing,Standard,088/189,Pokémon,120;250,Fighting,Stage 2,Pupitar,Darkness Ablaze,180,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Tyranitar,Rare Holo,,4,Unlimited;Reverse Holo,Grass×2
Sand Spray;Rocket Evolution,Standard,087/189,Pokémon,20;40,Fighting,Stage 1,Larvitar,Darkness Ablaze,80,Sekio,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Pupitar,Uncommon,,3,Unlimited;Reverse Holo,Grass×2
Mushroom Tackle;Solar Beam,Standard,004/189,Pokémon,30;110,Grass,Stage 1,Paras,Darkness Ablaze,120,Miki Tanaka,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Parasect,Uncommon,,2,Unlimited;Reverse Holo,Fire×2
Scratch,Standard,084/189,Pokémon,20,Fighting,Basic,,Darkness Ablaze,50,Hideki Ishikawa,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Diglett,Common,,1,Unlimited;Reverse Holo,Grass×2
Vortex of Darkness,Standard,105/189,Pokémon,60+,Darkness,Basic,,Darkness Ablaze,120,nagimiso,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Darkrai,Rare Holo,,2,Unlimited;Reverse Holo;Non-holo,Grass×2
Venomous Fang,Standard,104/189,Pokémon V,70,Darkness,Basic,,Darkness Ablaze,180,PLANETA Mochizuki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Crobat V,Rare Holo V,,1,Unlimited,Fighting×2
Return;Giga Drain,Standard,005/189,Pokémon,20;40,Grass,Basic,,Darkness Ablaze,90,Masakazu Fukuda,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Carnivine,Uncommon,,1,Unlimited;Reverse Holo,Fire×2
Mad Party,Standard,083/189,Pokémon,20×,Psychic,Stage 1,Sinistea,Darkness Ablaze,60,kirisAki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Polteageist,Uncommon,Fighting-30,1,Unlimited;Reverse Holo,Darkness×2
Dig;Mud Bomb,Standard,085/189,Pokémon,30;70,Fighting,Stage 1,Diglett,Darkness Ablaze,90,Yukiko Baba,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Dugtrio,Uncommon,,1,Unlimited;Reverse Holo,Grass×2
Sand Spray;Pierce,Standard,086/189,Pokémon,10;20,Fighting,Basic,,Darkness Ablaze,70,Sanosuke Sakuma,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Larvitar,Common,,1,Unlimited;Reverse Holo,Grass×2
Hang Down;Sting,Standard,102/189,Pokémon,10;20,Darkness,Basic,,Darkness Ablaze,60,Kyoko Umemoto,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Spinarak,Common,,1,Unlimited;Reverse Holo,Fighting×2
Stomp Off;Sludge Whirlpool,Standard,100/189,Pokémon,0;50,Darkness,Basic,,Darkness Ablaze,80,Ryota Murayama,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Grimer,Common,,3,Unlimited;Reverse Holo,Fighting×2
Triple Poison;Sludge Whirlpool,Standard,101/189,Pokémon,0;120,Darkness,Stage 1,Grimer,Darkness Ablaze,140,Eri Yamaki,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Muk,Rare,,4,Unlimited;Reverse Holo,Fighting×2
Tripping Shot,Standard,099/189,"Galarian Pokémon,Pokémon V",130,Darkness,Basic,,Darkness Ablaze,210,5ban Graphics,English (EN);French (FR);Spanish (ES);Portuguese (PT);Italian (IT);German (DE);Dutch (NL);Russian (RU);Polish (PL);Chinese (CN);Korean (KO),Galarian Slowbro V,Rare Holo V,,3,Unlimited,Fighting×2
