name,expansion
Meganium,Lost Thunder
Mewtwo-EX,Evolutions
Jolteon-GX,SM Black Star Promos
Terrakion,Unified Minds
Chandelure,Rebel Clash
Regirock,SM Black Star Promos
M Gardevoir-EX,Steam Siege
Simisage,Darkness Ablaze
Simisear,Darkness Ablaze
Greninja-GX,Forbidden Light
Parasect,Darkness Ablaze
Goodra,Ancient Origins
Slowking,Burning Shadows
Cradily,Cosmic Eclipse
Venomoth-GX,Unbroken Bonds
Lycanroc-GX,Guardians Rising
M Audino-EX,Fates Collide
M Gallade-EX,Roaring Skies
Tangrowth,Steam Siege
Tapu Koko,Darkness Ablaze
Shining Ho-Oh,SM Black Star Promos
Simipour,Darkness Ablaze
Tangrowth,Lost Thunder
Pyroar,Phantom Forces
Weavile,Cosmic Eclipse
M Aerodactyl-EX,XY Black Star Promos
Diggersby,Rebel Clash
Greninja-GX,Hidden Fates
M Manectric-EX,Phantom Forces
Shiftry,Vivid Voltage
Xerneas,Steam Siege
Gyarados,Stormfront
Entei-GX,Shining Legends
Golurk,Furious Fists
Gyarados,Team Up
Xerneas,Vivid Voltage
Gyarados,XY Black Star Promos
Aegislash,Team Up
Gyarados G,Platinum
Politoed,Guardians Rising
Xurkitree,Hidden Fates
Krookodile,Unbroken Bonds
Golem,Fossil
Slowbro,Unbroken Bonds
Xerneas,XY
Zekrom,Roaring Skies
Xurkitree,Forbidden Light
Terrakion,Emerging Powers
Toucannon,SM Trainer Kit (Lycanroc)
Golem,Legendary Collection
Rayquaza,Call of Legends
Xerneas,XY Black Star Promos
Gyarados ex,EX FireRed & LeafGreen
Komala,SM Black Star Promos
Gyarados-GX,Crimson Invasion
Kangaskhan,Darkness Ablaze
Latias,Unified Minds
Blissey,Platinum
Groudon,Legends Awakened
Chesnaught,XY Black Star Promos
Blastoise-EX,Generations
Latias ex,EX Dragon
Alolan Graveler,Crimson Invasion
Druddigon,Dragon Majesty
Charizard,Stormfront
Typhlosion,SM Black Star Promos
Zoroark,XY
Typhlosion ex,EX Sandstorm
Metagross,Vivid Voltage
Moltres,Majestic Dawn
Torkoal,Cosmic Eclipse
Groudon,Primal Clash
Groudon,XY Black Star Promos
Toucannon,Sun & Moon
Groudon ex,EX Crystal Guardians
Beheeyem BREAK,XY Black Star Promos
Scizor,Boundaries Crossed
Xurkitree,SM Black Star Promos
Sceptile ex,EX Team Magma vs Team Aqua
Kingler,Phantom Forces
Alcremie V,Champion's Path
Polteageist V,SWSH Black Star Promos
Ferrothorn,Sword & Shield
Kangaskhan,SWSH Black Star Promos
Zygarde-EX,Fates Collide
Charizard,Vivid Voltage
Kangaskhan,Fates Collide
Zygarde-EX,XY Black Star Promos
Blaziken-EX,XY Black Star Promos
Rampardos,Mysterious Treasures
Blaziken ex,EX Crystal Guardians
Xurkitree-GX,SM Black Star Promos
Slowbro-EX,Evolutions
Tornadus-EX,BW Black Star Promos
Slaking,EX Power Keepers
Greedent,Darkness Ablaze
Yveltal-GX,Forbidden Light
Kyogre & Groudon LEGEND,Undaunted
Yveltal,XY Black Star Promos
Yveltal,XY
Mewtwo,XY Black Star Promos
Bewear-GX,SM Black Star Promos
Tornadus-EX,Dark Explorers
Kyurem,SM Black Star Promos
Yveltal,Steam Siege
Steelix,Cosmic Eclipse
Rampardos,POP Series 6
Slaking,Dragons Exalted
Mewtwo,SM Black Star Promos
Slaking,Unified Minds
Slaking,EX Ruby & Sapphire
Mightyena,Vivid Voltage
Pinsir,Secret Wonders
Komala,Guardians Rising
Zapdos,Base Set 2
Zapdos,Base Set
Entei,Cosmic Eclipse
Torterra,Majestic Dawn
Kyurem,Dragon Majesty
Torterra LV.X,DP Black Star Promos
Alolan Graveler,Team Up
Zapdos,Hidden Fates
Zapdos,Legendary Collection
Darkrai & Cresselia LEGEND,Triumphant
Staraptor,Diamond & Pearl
Flareon,Vivid Voltage
Torterra LV.X,Diamond & Pearl
Yveltal,Generations
Druddigon,Unified Minds
Aegislash,BREAKpoint
Steelix,Diamond & Pearl
Black Kyurem,Boundaries Crossed
Tsareena,Darkness Ablaze
Scizor-GX,Hidden Fates
Keldeo,XY Black Star Promos
Golem E4,Rising Rivals
Black Kyurem,Cosmic Eclipse
Druddigon,Steam Siege
Scizor-GX,Celestial Storm
Gyarados,Ancient Origins
Xurkitree-GX,Ultra Prism
Absol-EX,XY Black Star Promos
Grimmsnarl,Rebel Clash
Xurkitree-GX,Hidden Fates
Turtonator,Ultra Prism
Zebstrika,Team Up
Black Kyurem,BW Black Star Promos
Blaziken,Platinum
Steelix-EX,Steam Siege
Yanmega,Unified Minds
Exploud,Celestial Storm
Blaziken,Primal Clash
Yanmega BREAK,Steam Siege
Entei,SM Black Star Promos
Thundurus,Furious Fists
Zarude V,Vivid Voltage
Gumshoos-GX,Sun & Moon
Aggron ex,EX Crystal Guardians
Zebstrika,Battle Academy (Pikachu)
Steelix,Plasma Freeze
Starmie-GX,Hidden Fates
Steelix,Stormfront
Skuntank,Ultra Prism
Steelix,Unleashed
Chesnaught,BREAKthrough
Virizion,Emerging Powers
Sharpedo-EX,Primal Clash
Snorlax,Hidden Fates
Hippowdon,Ultra Prism
Magmortar,Call of Legends
Azumarill,Primal Clash
M Kangaskhan-EX,Flashfire
Cobalion-EX,Plasma Storm
M Glalie-EX,BREAKthrough
Palossand,Burning Shadows
Cobalion,Emerging Powers
Snorlax,Battle Academy (Mewtwo)
Mantine,Lost Thunder
Archeops,Plasma Blast
Magmortar,Unleashed
Ampharos-EX,Ancient Origins
Ho-Oh,Call of Legends
Manectric,Vivid Voltage
Rhydon,Sword & Shield
Hoopa-EX,XY Black Star Promos
Armaldo,Cosmic Eclipse
Hippowdon,Primal Clash
Articuno,SM Black Star Promos
Oricorio-GX,Cosmic Eclipse
Talonflame,Unified Minds
Articuno,Generations
Magneton,Legendary Collection
Drampa,Ultra Prism
Talonflame,XY
Camerupt,Supreme Victors
Armaldo,Steam Siege
Ninetales ex,EX Hidden Legends
Articuno,Roaring Skies
Cloyster,Sword & Shield
Lucario-EX,Furious Fists
M Sceptile-EX,Ancient Origins
M Salamence-EX,XY Black Star Promos
Dusk Mane Necrozma,SM Black Star Promos
Infernape E4 LV.X,Rising Rivals
Dialga,Platinum
M Diancie-EX,XY Black Star Promos
M Charizard-EX,Generations
Dhelmise,Cosmic Eclipse
Arceus LV.X,DP Black Star Promos
M Altaria-EX,Fates Collide
Avalugg,Forbidden Light
Tapu Fini,Lost Thunder
Dragonite FB,Supreme Victors
Tapu Fini,SM Black Star Promos
Roserade,Ultra Prism
Tapu Fini,Unified Minds
Arcanine,Next Destinies
Eevee-GX,SM Black Star Promos
Tapu Koko,Unified Minds
Magneton,Fossil
Wailord ex,EX Sandstorm
Tapu Koko,SM Black Star Promos
Wailord,Supreme Victors
Magnezone,DP Black Star Promos
Magnezone,BREAKthrough
Onix,Cosmic Eclipse
Palossand-GX,Celestial Storm
Arcanine ex,EX Legend Maker
Gardevoir-EX,Primal Clash
Incineroar,Sun & Moon
Genesect-EX,Plasma Blast
Snorlax,Vivid Voltage
Arceus LV.X,Arceus
Ho-Oh,XY Black Star Promos
Genesect-EX,Fates Collide
Rhydon,Skyridge
M Blaziken-EX,XY Black Star Promos
Genesect,BW Black Star Promos
Lycanroc,SM Black Star Promos
Luxray,BREAKpoint
Luxray,Legends Awakened
Gardevoir-EX,Generations
Ho-Oh LEGEND,HeartGold & SoulSilver
Shining Charizard,Neo Destiny
Lycanroc,Burning Shadows
Lycanroc,Forbidden Light
Dialga,DP Black Star Promos
Mawile-EX,XY Black Star Promos
Volcanion,Steam Siege
Regirock,Celestial Storm
Sylveon-EX,Generations
Primal Groudon-EX,Ancient Origins
Necrozma,SM Black Star Promos
Necrozma,Unified Minds
Primal Groudon-EX,Primal Clash
Garchomp,Legendary Treasures
Garchomp,Hidden Fates
Ultra Necrozma,SM Black Star Promos
Flygon ex,EX Legend Maker
Chansey,Phantom Forces
Garchomp,Ultra Prism
Nidoking,Evolutions
Garchomp,Forbidden Light
Nidoking,Rising Rivals
Regirock-EX,Fates Collide
Charizard,Box Toppers (Legendary Collection)
Charizard,Base Set 2
Raichu,EX Power Keepers
Haxorus,Dragon Vault
Machamp,Triumphant
Electrode,BW Black Star Promos
Pikachu,HGSS Black Star Promos
Garchomp,Plasma Freeze
Garchomp,POP Series 9
Charizard,SWSH Black Star Promos
Deoxys,SM Black Star Promos
Charizard,Legendary Collection
Electrode,Vivid Voltage
Regigigas,Phantom Forces
Latios ex,EX Dragon
Tyrantrum,Forbidden Light
Electrode,Skyridge
Hatterene,Champion's Path
Sandaconda,Sword & Shield
Regigigas,XY Black Star Promos
Gogoat,Lost Thunder
Regigigas LV.X,DP Black Star Promos
Regigigas LV.X,Stormfront
Machamp BREAK,Evolutions
Charizard,Base Set
Ash's Pikachu,SM Black Star Promos
Dewgong,Fates Collide
Salamence,Celestial Storm
Houndoom V,Darkness Ablaze
Raichu,Majestic Dawn
Whiscash,Guardians Rising
Raichu,Stormfront
Bastiodon,Steam Siege
Drapion,Ultra Prism
Raichu,HeartGold & SoulSilver
M Slowbro-EX,Evolutions
Salamence LV.X,Arceus
Volcanion,XY Black Star Promos
Rhyperior,Primal Clash
Jirachi-GX,Unified Minds
Salamence,Plasma Blast
Raichu,HGSS Trainer Kit (Raichu)
Salamence,SM Black Star Promos
Raichu,XY
Volcanion ◇,Forbidden Light
Camerupt,EX Ruby & Sapphire
Forretress,Legends Awakened
White Kyurem-EX,Plasma Storm
Lt. Surge's Raichu,Gym Heroes
Forretress,EX Unseen Forces
Salamence δ,EX Delta Species
Raichu,Generations
Nidoking,Team Up
Palkia,Shining Legends
Garchomp,Dragons Exalted
Primarina,Sun & Moon
Chansey,Lost Thunder
Giratina-EX,Ancient Origins
Talonflame,Guardians Rising
Charmeleon,Evolutions
Chesnaught,XY
Poliwrath,Legends Awakened
Gothitelle,Darkness Ablaze
Blissey,Dark Explorers
Orbeetle,Sword & Shield
Palossand,Rebel Clash
Exeggutor,Vivid Voltage
Moltres ex,Nintendo Black Star Promos
Exploud,Phantom Forces
Tangrowth,Unbroken Bonds
Moltres,Next Destinies
Pyroar,Lost Thunder
Blaziken,Dragon Majesty
Talonflame,Roaring Skies
Galarian Obstagoon,Sword & Shield
Electabuzz,Battle Academy (Pikachu)
Carnivine,Ultra Prism
Glaceon-GX,Hidden Fates
Thievul,Sword & Shield
Empoleon,Ultra Prism
Glaceon,SM Black Star Promos
Thundurus-EX,BW Black Star Promos
Raichu,BW Black Star Promos
Ninetales,Rebel Clash
Bruxish,SM Black Star Promos
Thundurus-EX,Plasma Freeze
Ninetales,Team Up
Bruxish,Sun & Moon
Solrock,Plasma Storm
Pheromosa,SM Black Star Promos
Pheromosa,Hidden Fates
Pheromosa,Forbidden Light
Primeape,Crimson Invasion
Glaceon-GX,SM Black Star Promos
Glaceon-GX,Ultra Prism
Stoutland,Black & White
Braviary,Emerging Powers
Raikou,Shining Legends
Musharna,Black & White
Gogoat,BREAKthrough
Golduck,Team Up
Stoutland,Boundaries Crossed
Nidoking,Plasma Freeze
Terrakion-EX,Dragons Exalted
Empoleon,Forbidden Light
Terrakion,Boundaries Crossed
Terrakion,Legendary Treasures
Terrakion,Noble Victories
Nidoqueen,Mysterious Treasures
Gliscor,Guardians Rising
Furret,Darkness Ablaze
Persian,Unbroken Bonds
Giratina,Plasma Storm
Electivire,BREAKpoint
Entei-EX,Dark Explorers
Pyroar,Steam Siege
Golurk,Boundaries Crossed
Galarian Stunfisk,Vivid Voltage
Flareon,Cosmic Eclipse
Golurk,Dragons Exalted
Electabuzz,Ultra Prism
Genesect,XY Black Star Promos
Flareon,Call of Legends
Clefable,Hidden Fates
Pangoro,Cosmic Eclipse
Pangoro,BREAKpoint
Escavalier,Unified Minds
Poliwrath,Unbroken Bonds
Entei ex,EX Team Magma vs Team Aqua
Entei & Raikou LEGEND,Unleashed
Persian,SM Black Star Promos
Gigalith,Noble Victories
Giratina,BW Black Star Promos
Pinsir,Aquapolis
Electivire,XY Trainer Kit (Pikachu Libre)
Electivire,Rebel Clash
Galarian Obstagoon,SWSH Black Star Promos
Passimian,Burning Shadows
Flareon,Undaunted
Galarian Perrserker,Vivid Voltage
Golduck,Boundaries Crossed
Gengar,Sword & Shield
Gengar,SWSH Black Star Promos
Galarian Obstagoon,Vivid Voltage
Golurk,Ancient Origins
Flareon,Plasma Freeze
Eelektross,Noble Victories
Excadrill,Unified Minds
Hoopa,Darkness Ablaze
Incineroar,Unbroken Bonds
Diggersby,Crimson Invasion
Tsareena,Unified Minds
Kingdra,Burning Shadows
Tsareena-GX,SM Black Star Promos
Turtonator,Guardians Rising
Landorus,BW Black Star Promos
Landorus,Furious Fists
Shiftry-GX,Celestial Storm
Rhydon,Unbroken Bonds
Diancie ◇,Forbidden Light
Lanturn,Plasma Freeze
Vanilluxe,Darkness Ablaze
Reshiram,XY Black Star Promos
Gyarados,Generations
Weezing,Cosmic Eclipse
Honchkrow-GX,Unbroken Bonds
Heatran,POP Series 8
Croconaw,Dragon Majesty
Magmortar,Dragons Exalted
Scrafty,Shining Legends
Alolan Sandslash,Ultra Prism
Houndoom,Crimson Invasion
Kyurem,Dragon Vault
Umbreon-GX,Hidden Fates
Salazzle,Guardians Rising
Bewear,Rebel Clash
Aggron,Dragons Exalted
Arcanine,BREAKpoint
Diggersby,SM Trainer Kit (Alolan Ninetales)
Lucario,XY Black Star Promos
Yveltal-EX,XY Black Star Promos
Yveltal-EX,XY
Medicham,Celestial Storm
Yveltal,Shining Legends
Salazzle,Unified Minds
Scrafty,Champion's Path
Gumshoos,Unified Minds
Weezing,HeartGold & SoulSilver
Lanturn,Sword & Shield
Darkrai,BW Black Star Promos
Infernape,Diamond & Pearl
Leafeon-EX,Generations
Weavile,Next Destinies
Hatterene V,SWSH Black Star Promos
Mamoswine,Plasma Storm
Beedrill,Team Up
Sandslash,Unbroken Bonds
Haxorus,BW Black Star Promos
Alolan Marowak-GX,SM Black Star Promos
Alolan Muk,Sun & Moon
Lugia,Neo Genesis
Ho-oh,Neo Revelation
Avalugg,Flashfire
Beartic,Plasma Storm
Umbreon-GX,Sun & Moon
Mamoswine,Crimson Invasion
Registeel,Crimson Invasion
Registeel,SM Black Star Promos
Meganium ex,EX Unseen Forces
Alolan Persian,Lost Thunder
Dialga-EX,Plasma Blast
Samurott,Steam Siege
Hariyama,Plasma Freeze
Silvally,SM Black Star Promos
Scizor,Rebel Clash
Weezing,Call of Legends
Beheeyem,Unified Minds
Venusaur-EX,XY Black Star Promos
Venusaur-EX,XY
Lapras,Unified Minds
Lapras VMAX,Sword & Shield
Venusaur,Shining Legends
Alolan Raichu,Unified Minds
Venusaur-EX,Evolutions
Venusaur ex,EX FireRed & LeafGreen
Unfezant,Unified Minds
Latias ex δ,EX Dragon Frontiers
Cresselia-EX,Boundaries Crossed
Honchkrow,Ultra Prism
Arcanine,Detective Pikachu
Lucario,Unified Minds
Donphan,HeartGold & SoulSilver
Aegislash,Forbidden Light
Decidueye-GX,Guardians Rising
Decidueye-GX,Hidden Fates
Jolteon,Hidden Fates
Decidueye-GX,SM Black Star Promos
Decidueye-GX,Sun & Moon
Kommo-o,Cosmic Eclipse
Kommo-o,Dragon Majesty
Druddigon,Plasma Storm
Mantine,Steam Siege
Skarmory,Team Up
Blaine's Moltres,Gym Heroes
Kingler,Sword & Shield
Arcanine,HeartGold & SoulSilver
Virizion,Shining Legends
Dragonite,Plasma Freeze
Hitmonlee,Team Up
Torracat,Sun & Moon
Graveler,Unbroken Bonds
Seaking,Supreme Victors
Reshiram & Zekrom-GX,Cosmic Eclipse
Moltres,Lost Thunder
Moltres,Legendary Treasures
Hitmonchan,Evolutions
Jolteon,Vivid Voltage
Wigglytuff,Darkness Ablaze
Hippowdon,Next Destinies
Liepard,Unified Minds
Torkoal,Shining Legends
Moltres,Battle Academy (Charizard)
Decidueye,Darkness Ablaze
Liepard,Darkness Ablaze
Decidueye,SWSH Black Star Promos
Liepard,Champion's Path
Skarmory,Phantom Forces
Sealeo,Cosmic Eclipse
Salamence,Dragon Vault
Umbreon-GX,SM Black Star Promos
Rayquaza,Dragon Vault
Barbaracle,Forbidden Light
Bisharp,Team Up
Milotic,Supreme Victors
Rayquaza,Legendary Treasures
Victreebel,Unbroken Bonds
Rayquaza,Dragons Exalted
Zebstrika,Boundaries Crossed
Zekrom,XY Black Star Promos
Dodrio,Unbroken Bonds
Wigglytuff,XY Trainer Kit (Wigglytuff)
Darkrai-EX,BW Black Star Promos
Aerodactyl,Team Up
Toxtricity V,Rebel Clash
Wigglytuff,XY
Darkrai-EX,Dark Explorers
Zebstrika,Noble Victories
Toxtricity,Rebel Clash
Trevenant,XY Black Star Promos
Magcargo,Primal Clash
Roserade,Sword & Shield
Dewgong,Evolutions
Lickilicky,Unified Minds
Delcatty,Darkness Ablaze
Heliolisk,Team Up
Simisear,XY
Darkrai-EX,Legendary Treasures
Trevenant,Guardians Rising
Seismitoad,BREAKpoint
Vileplume,Unbroken Bonds
Ludicolo,Primal Clash
Dialga G LV.X,Platinum
Altaria-EX,Fates Collide
Probopass,Cosmic Eclipse
Lucario,Pokémon Rumble
White Kyurem,BW Black Star Promos
Salamence ex δ,EX Dragon Frontiers
Alomomola,Phantom Forces
Forretress G,Rising Rivals
Primeape,Plasma Freeze
Dialga,XY Black Star Promos
Shieldon,Ultra Prism
Weezing,Fates Collide
Jolteon,Ancient Origins
Infernape,Stormfront
Lucario LV.X,DP Black Star Promos
Lopunny,Flashfire
Primeape,Team Up
Lucario LV.X,Mysterious Treasures
Pidgeot-EX,Evolutions
Furfrou,XY
Torkoal,Celestial Storm
Probopass,Steam Siege
M Absol-EX,XY Black Star Promos
Clefable,Vivid Voltage
Pangoro,XY Black Star Promos
Pangoro,Furious Fists
Pangoro,Forbidden Light
Carracosta,Unified Minds
Carracosta,Plasma Blast
Carracosta,Noble Victories
Walrein,Dragons Exalted
Arcanine,Legendary Collection
Wailord,Guardians Rising
Shining Steelix,Neo Destiny
Wailord,Dragons Exalted
Eevee V,SWSH Black Star Promos
Donphan,Plasma Storm
Arcanine BREAK,XY Black Star Promos
Dialga LV.X,DP Black Star Promos
Arceus,Arceus
Arceus,DP Black Star Promos
Archeops,Unified Minds
Garbodor,Plasma Storm
M Houndoom-EX,BREAKthrough
Palkia-EX,Plasma Blast
Doublade,Rebel Clash
Armaldo ex,POP Series 1
Camerupt,Legends Awakened
Machamp,Detective Pikachu
Eelektross,Primal Clash
Garbodor,Rebel Clash
Camerupt,Boundaries Crossed
Camerupt,BREAKpoint
Gallade,Plasma Storm
Walrein ex,EX Legend Maker
Lycanroc,SM Trainer Kit (Lycanroc)
Arcanine,Base Set 2
Dialga LV.X,Great Encounters
Pelipper,Celestial Storm
Lugia,Call of Legends
Ambipom,Mysterious Treasures
Lugia,XY Black Star Promos
Ampharos,Call of Legends
Lugia-EX,Ancient Origins
Shiftry,EX Sandstorm
Infernape,Platinum
Ampharos,HeartGold & SoulSilver
Lunala,Celestial Storm
Swampert,Celestial Storm
Electivire,Boundaries Crossed
Ampharos,Steam Siege
Anorith,Cosmic Eclipse
Swampert,Great Encounters
Araquanid,Burning Shadows
Araquanid,Cosmic Eclipse
Galarian Perrserker,Rebel Clash
Swanna,BREAKpoint
Araquanid,Unified Minds
Diancie-EX,XY Black Star Promos
Lurantis,SM Black Star Promos
Swanna,XY Trainer Kit (Suicune)
Diggersby,Forbidden Light
Diggersby,Phantom Forces
Luxray,Diamond & Pearl
Luxray,Next Destinies
Arcanine,Base Set
White Kyurem,Boundaries Crossed
Samurott,Black & White
White Kyurem,Lost Thunder
Entei,HGSS Black Star Promos
Darkrai,XY Black Star Promos
Porygon-Z,Triumphant
Kingdra ex δ,EX Dragon Frontiers
Porygon-Z,Burning Shadows
Kingdra δ,EX Holon Phantoms
Piplup,Cosmic Eclipse
Zapdos,Majestic Dawn
Lanturn,Primal Clash
Kyogre,XY Black Star Promos
Kyogre,Primal Clash
Darkrai-EX,BREAKpoint
Entei,Lost Thunder
Zapdos-EX,Plasma Storm
Zekrom,Plasma Freeze
Scrafty,Flashfire
Steelix,Celestial Storm
Aggron,Plasma Blast
Piloswine,Neo Revelation
Serperior,Fates Collide
Lairon,Crimson Invasion
Serperior,Legendary Treasures
Lairon,Triumphant
Scolipede,Boundaries Crossed
Scolipede,Black & White
Charizard-EX,Generations
Landorus,Legendary Treasures
Landorus,Noble Victories
Landorus-EX,Boundaries Crossed
Darkrai,DP Black Star Promos
Alakazam,Box Toppers (e-Card Series)
Alakazam,Expedition Base Set
Krookodile,XY
Krookodile,Plasma Freeze
Escavalier,Plasma Blast
Poliwrath,Evolutions
Abomasnow,Forbidden Light
Zygarde,Vivid Voltage
Klinklang,Emerging Powers
Decidueye,Cosmic Eclipse
Zweilous,Steam Siege
Exeggutor,Roaring Skies
Zweilous,Legendary Treasures
Zweilous,Dragons Exalted
Charmeleon,Hidden Fates
Charmeleon,Generations
Excadrill,BW Trainer Kit (Excadrill)
Abomasnow,Plasma Blast
Abomasnow,Ultra Prism
Exploud,Fates Collide
Aegislash,Primal Clash
Seismitoad,Plasma Freeze
Fearow,XY Black Star Promos
Feraligatr,Call of Legends
Poliwrath,Sun & Moon
Charmeleon,Dragon Majesty
Kingler,Great Encounters
Feraligatr,HeartGold & SoulSilver
Charmeleon,Battle Academy (Charizard)
Chesnaught,Kalos Starter Set
Feraligatr,Phantom Forces
Seismitoad,Cosmic Eclipse
Zoroark,Emerging Powers
Seismitoad,Dragons Exalted
Zoroark,BW Trainer Kit (Zoroark)
Ferrothorn,Team Up
Xerneas,BREAKthrough
Darkrai,Burning Shadows
Chandelure,Next Destinies
Alolan Sandslash,SM Black Star Promos
Salazzle,Dragon Majesty
Lickilicky,Secret Wonders
Flygon-EX,XY Black Star Promos
Flygon ex δ,EX Dragon Frontiers
Sunflora,Cosmic Eclipse
Alolan Sandslash,SM Trainer Kit (Alolan Sandslash)
Suicune & Entei LEGEND,Unleashed
Lapras,BREAKpoint
Suicune,XY Trainer Kit (Suicune)
Leafeon,SM Black Star Promos
Palkia,XY Black Star Promos
Samurott,Boundaries Crossed
Flygon,Primal Clash
Latios δ,EX Delta Species
Pikachu,Black & White
Charizard,Arceus
Wigglytuff,Unbroken Bonds
Chansey ex,EX Ruby & Sapphire
Kabutops,Team Up
Chansey,Neo Destiny
Chansey,Mysterious Treasures
Chansey,McDonald's Collection 2018 (French)
Chansey,McDonald's Collection 2018
Kabutops,Fates Collide
Chansey,Hidden Fates
Chansey,Guardians Rising
Chansey,Evolutions
Primarina,Lost Thunder
Chansey,Battle Academy (Pikachu)
Chansey,Base Set 2
Chansey,Base Set
Flygon,Nintendo Black Star Promos
Detective Pikachu,SM Black Star Promos
Detective Pikachu,Detective Pikachu
Pikachu,SM Black Star Promos
Stoutland,XY
Scizor,Undaunted
Xatu,Lost Thunder
Lapras,Hidden Fates
Sceptile,Plasma Freeze
Kecleon,Celestial Storm
Kangaskhan,Team Up
Alolan Exeggutor,Ultra Prism
Latias,Great Encounters
Latias,POP Series 7
Stunfisk,BREAKthrough
Floatzel,Ultra Prism
Emboar,Next Destinies
Emboar,Legendary Treasures
Alolan Graveler,Guardians Rising
Sudowoodo,SM Black Star Promos
Latias δ,EX Delta Species
Delphox-EX,XY Black Star Promos
Latios,HGSS Black Star Promos
Sandslash,Boundaries Crossed
Sandslash,BREAKthrough
Alolan Muk,Team Up
Emboar,BW Black Star Promos
Deoxys Attack Forme,Legends Awakened
Flygon,BW Black Star Promos
Alolan Ninetales,Burning Shadows
Flygon,Boundaries Crossed
Alolan Ninetales,SM Black Star Promos
Alolan Ninetales,SM Trainer Kit (Alolan Ninetales)
Alolan Ninetales,Team Up
Garbodor,SWSH Black Star Promos
Sylveon,Cosmic Eclipse
Tyranitar ex,POP Series 1
Basculin,Emerging Powers
Heatran-EX,Plasma Freeze
Togekiss,Undaunted
Raichu,Next Destinies
Bastiodon,Platinum
Heatran,Darkness Ablaze
